drawing_number,sample_height,sample_inner_radius,sample_outer_radius,sample_thick,sample_volume,can_inner_radius,can_outer_radius,can_thick,insert_inner_radius,insert_outer_radius,insert_thick
107030510-I8U-8700-A232-01,61.722,6.9342,7.9375,1.0033,2893.218885,7.9375,8.3185,0.381,6.6802,6.9342,0.254
107030510-I8U-8700-A232-02,61.722,5.9309,7.9375,2.0066,5396.063232,7.9375,8.3185,0.381,5.6769,5.9309,0.254
