id,material,sample_height_mm,sample_inner_radius_mm,sample_outer_radius_mm,sample_thick_mm,sample_volume_mm3,can_inner_radius_mm,can_outer_radius_mm,can_thick_mm,insert_inner_radius_mm,insert_outer_radius_mm,insert_thick_mm,can_R1_cm,can_R2_cm,can_R3_cm,can_R4_cm,can_height_cm,can_material_volume_cm3,can_material_volume_inner_cm3,can_material_volume_outer_cm3,d,new_can_R4_cm,new_can_material_volume_outer_cm3,new_can_material_total_volume_cm3
annulus_61p722mm_6p6802mm_Al,Al,61.722,6.9342,7.9375,1.0033000000000003,2893.218884790382,7.9375,8.3185,0.3810000000000002,6.6802,6.9342,0.2539999999999995,0.6680200000000001,0.6934199999999999,0.79375,0.83185,6.1722,1.8714959416473644,0.6705359790929036,1.200959962554461,0.0205319557569245,0.8523819557569245,1.8714959416473635,2.542031920740267
annulus_61p722mm_5p6769mm_Al,Al,61.722,5.9309,7.9375,2.0066,5396.063231752512,7.9375,8.3185,0.3810000000000002,5.6769,5.9309,0.2540000000000004,0.56769,0.59309,0.79375,0.83185,6.1722,1.772666944728823,0.5717069821743621,1.200959962554461,0.0175369757065974,0.8493869757065974,1.7726669447288208,2.3443739269031827
annulus_50mm_3p81mm_V,V,50.0,3.9624,5.0,1.0375999999999999,1460.7441747239002,5.0,5.1524,0.1524000000000001,3.81,3.9624,0.1524000000000001,0.381,0.39624000000000004,0.5,0.51524,5.0,0.42910064037764645,0.1860629863246016,0.24303765405304484,0.011369338314466293,0.5266093383144663,0.429100640377646,0.6151636267022476
